GeneSymbol,Ensembl ID,EntrezGene,ae,thresholdset,gene_count,drug_count,ae_count,drugs_with_ae,bioactive_drugs
CSF1R,ENSG00000182578,ENSG00000182578,Platelet count abnormal,11,3175,4905,2381,53,144
CSF1R,ENSG00000182578,ENSG00000182578,Urine output decreased,11,3175,4905,2381,137,144
CSF1R,ENSG00000182578,ENSG00000182578,Thermal burn,11,3175,4905,2381,113,144
CSF1R,ENSG00000182578,ENSG00000182578,Oliguria,11,3175,4905,2381,246,144
CSF1R,ENSG00000182578,ENSG00000182578,Hypercholesterolaemia,11,3175,4905,2381,352,144
CSF1R,ENSG00000182578,ENSG00000182578,Choking,11,3175,4905,2381,264,144
CSF1R,ENSG00000182578,ENSG00000182578,Lower limb fracture,11,3175,4905,2381,217,144
CSF1R,ENSG00000182578,ENSG00000182578,Adrenal insufficiency,11,3175,4905,2381,305,144
CSF1R,ENSG00000182578,ENSG00000182578,Bradycardia,11,3175,4905,2381,975,144
CSF1R,ENSG00000182578,ENSG00000182578,Abdominal abscess,11,3175,4905,2381,30,144
CSF1R,ENSG00000182578,ENSG00000182578,Aphonia,11,3175,4905,2381,134,144
CSF1R,ENSG00000182578,ENSG00000182578,Post transplant lymphoproliferative disorder,11,3175,4905,2381,55,144
CSF1R,ENSG00000182578,ENSG00000182578,Inappropriate schedule of product administration,11,3175,4905,2381,749,144
CSF1R,ENSG00000182578,ENSG00000182578,Madarosis,11,3175,4905,2381,37,144
CSF1R,ENSG00000182578,ENSG00000182578,Tendon rupture,11,3175,4905,2381,96,144
CSF1R,ENSG00000182578,ENSG00000182578,Haemodynamic instability,11,3175,4905,2381,247,144
CSF1R,ENSG00000182578,ENSG00000182578,Neoplasm malignant,11,3175,4905,2381,513,144
CSF1R,ENSG00000182578,ENSG00000182578,Neutropenic infection,11,3175,4905,2381,33,144
CSF1R,ENSG00000182578,ENSG00000182578,Mouth swelling,11,3175,4905,2381,75,144
CSF1R,ENSG00000182578,ENSG00000182578,Amenorrhoea,11,3175,4905,2381,184,144
CSF1R,ENSG00000182578,ENSG00000182578,Sarcoidosis,11,3175,4905,2381,80,144
