CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)",Molecular_Weight (amu)
CM-1374804,JAK1 EC50(uM),0.0147,83.79,0.806,0.8056,2,7,4.0,0.36842,2,44.9,123.0,,,24.9,347.42
CM-152280,JAK1 EC50(uM),0.303,145.85,3.275,-0.0001,5,10,2.0,0.48387,ANTIVIRAL AGENT,,,,,,594.72
CM-1222695,JAK1 EC50(uM),3.0,101.96,2.666,2.6657,3,8,3.0,0.17647,Class A,,,,,,371.82
CM-1988329,JAK1 EC50(uM),3.0,151.82,3.257,3.213,5,12,4.0,0.28571,Class A,4.42,2.0,,,53.5,632.71
CM-1179180,JAK1 EC50(uM),0.525,201.27,6.427,6.1952,4,17,8.0,0.27273,Class A,,,,,,1005.97
CM-1192617,JAK1 EC50(uM),3.0,196.49,4.734,4.4271,6,14,6.0,0.11905,Class A,,,,,,784.72
CM-1398628,JAK1 EC50(uM),0.0157,104.3,2.7,2.7004,3,8,3.0,0.21429,Class A,17.3,200.0,0.878,69.4,3.8,348.77
CM-1172779,JAK1 EC50(uM),0.0264,67.66,3.235,3.2346,2,6,3.0,0.07143,Class A,33.6,2.1,,,130.0,300.75
CM-1179311,JAK1 EC50(uM),0.0766,67.66,2.631,2.6305,2,6,3.0,0.07143,Class A,49.0,9.0,,,2.5,266.3
CM-937596,JAK1 EC50(uM),0.249,102.51,2.846,2.8442,4,8,3.0,0.28,Class A,3.26,24.1,,,8.96,479.96
CM-1247018,JAK1 EC50(uM),0.0643,96.34,2.915,2.9144,3,8,4.0,0.125,Class A,10.7,27.9,,,14.0,354.8
CM-1247017,JAK1 EC50(uM),0.162,96.34,2.558,2.5576,3,8,4.0,0.06667,Class A,9.26,12.9,,,17.1,340.77
CM-1207476,JAK1 EC50(uM),0.0304,96.76,1.244,1.2439,3,8,2.0,0.41176,Class A,,,,,,373.84
CM-1103869,JAK1 EC50(uM),1.14,67.66,2.349,2.3491,2,6,2.0,0.53333,Class A,,,,,,302.35
CM-1172778,JAK1 EC50(uM),0.0206,76.89,3.242,3.2416,2,7,3.0,0.13333,Class A,,,,,,375.22
CM-1130748,JAK1 EC50(uM),0.158,67.66,3.084,3.0841,2,6,2.0,0.5625,Class A,,,,,,352.36
CM-1398629,JAK1 EC50(uM),0.0981,103.17,2.701,2.7013,2,8,3.0,0.21739,Class A,3.67,0.82,,,,414.46
CM-1169290,JAK1 EC50(uM),0.0805,101.8,2.075,2.0749,2,8,3.0,0.13333,Class A,17.0,6.89,,,,378.84
CM-1179312,JAK1 EC50(uM),0.246,67.66,3.144,3.144,2,6,3.0,0.13333,Class A,,,,,,280.33
CM-978396,JAK1 EC50(uM),3.0,79.42,3.507,3.5069,1,6,4.0,0.1,Class A,7.94,8.13,,,,358.37
CM-1105897,JAK1 EC50(uM),3.0,113.83,0.568,0.5672,3,9,2.0,0.21429,Class A,,,,,,313.31
CM-1690770,JAK1 EC50(uM),3.0,121.11,2.793,1.3096,4,11,2.0,0.62069,Class A,0.205,,,,,552.71
CM-1347473,JAK1 EC50(uM),3.0,83.56,0.88,0.8788,2,7,2.0,0.35,Class A,,,,,,366.41
CM-758910,JAK1 EC50(uM),3.0,92.93,5.333,5.3329,4,6,4.0,0.05,Class A,,,,,,463.86
CM-1717990,JAK1 EC50(uM),3.0,42.74,5.18,5.1685,1,4,3.0,0.42857,Class A,0.535,,,,,334.46
CM-974356,JAK1 EC50(uM),0.436,100.86,3.789,3.0754,4,6,4.0,0.05556,Class A,,,,,,384.48
CM-1179149,JAK1 EC50(uM),0.017,93.69,2.869,2.8689,2,8,4.0,0.125,Class A,,,,,,400.23
CM-1561778,JAK1 EC50(uM),0.171,102.24,1.417,1.417,2,7,3.0,0.22727,Class A,17.2,29.7,,,9.25,406.41
CM-1179310,JAK1 EC50(uM),0.239,67.66,2.773,2.7733,2,6,3.0,0.07143,Class A,,,,,,284.29
CM-1115621,JAK1 EC50(uM),0.994,110.75,1.278,1.2777,4,8,2.0,0.52941,Class A,,80.2,,,,359.4
CM-1135182,JAK1 EC50(uM),3.0,185.12,11.124,10.8921,7,12,7.0,0.19231,Class A,,,,,,919.99
CM-1113045,JAK1 EC50(uM),2.3,82.19,1.56,1.5149,1,7,2.0,0.625,Class B,,,,,,349.45
CM-1252116,JAK1 EC50(uM),0.0679,95.38,0.133,-0.0166,2,8,3.0,0.5,Class B,31.0,321.0,,,5.81,360.43
CM-1366416,JAK1 EC50(uM),0.0524,93.32,0.269,0.2684,1,8,3.0,0.5,Class B,8.14,128.0,,,3.46,377.44
CM-1354677,JAK1 EC50(uM),0.0557,83.06,2.423,2.3753,1,8,3.0,0.57895,Class B,10.8,200.0,,6.82,4.99,399.51
CM-1357161,JAK1 EC50(uM),0.13,82.62,2.114,2.061,2,7,3.0,0.41176,Class B,5.97,200.0,,,2.5,323.4
CM-1253937,JAK1 EC50(uM),0.0163,66.29,0.393,0.362,1,6,3.0,0.5,Class B,43.7,200.0,,,3.97,359.37
CM-1282028,JAK1 EC50(uM),0.208,68.1,3.243,3.2434,1,6,3.0,0.68182,Class B,7.1,6.0,,,200.0,381.51
CM-1386219,JAK1 EC50(uM),0.382,91.15,1.596,1.5503,1,8,3.0,0.44444,Class B,49.2,183.0,,,2.5,354.41
CM-1374803,JAK1 EC50(uM),0.0348,83.79,0.806,0.8056,2,7,4.0,0.36842,Class B,54.0,73.5,,,19.4,347.42
CM-1386651,JAK1 EC50(uM),0.321,87.54,-0.6,-0.6005,2,8,3.0,0.47059,Class B,1.02,154.0,,,2.72,342.4
CM-1351414,JAK1 EC50(uM),0.079,96.2,1.968,1.9208,1,9,3.0,0.57895,Class B,13.2,200.0,,21.3,3.86,383.45
CM-1341539,JAK1 EC50(uM),0.0103,84.23,1.446,1.431,1,8,4.0,0.5,Class B,8.3,16.0,,,13.1,409.51
CM-1255508,JAK1 EC50(uM),0.0328,69.53,0.82,0.8194,1,7,3.0,0.52632,Class B,51.5,562.0,,,7.49,388.41
CM-1289181,JAK1 EC50(uM),0.103,88.41,0.769,0.7688,1,8,3.0,0.52941,Class B,12.3,34.3,,,81.1,342.4
CM-1357437,JAK1 EC50(uM),0.0499,75.52,0.611,0.6105,1,7,3.0,0.57143,Class B,5.34,63.0,,,2.5,381.47
